GroundFish,Benthic,Pelagic,Pelagic Migratory
Bottom Temperature,Bottom Temperature,Sea Surface Temperature,Sea Surface Temperature
Sea Water Salinity at Sea Floor,Sea Water Salinity at Sea Floor,Sea Surface Salinity,Sea Surface Salinity
Bottom Oxygen,Bottom Oxygen,Surface pH,Surface pH
Bottom Aragonite Solubility,Bottom Aragonite Solubility,Mixed layer depth (delta rho = 0.03),Mixed layer depth (delta rho = 0.03)
