Planktivore,Piscivore,Benthos,Benthivore,Apex Predator
Diazotroph new (NO3-based) prim. prod. integral in upper 100m,Small zooplankton nitrogen biomass in upper 100m,Water column net primary production vertical integral,Water column net primary production vertical integral,Water column net primary production vertical integral
Small phyto. new (NO3-based) prim. prod. integral in upper 100m,Medium zooplankton nitrogen biomass in upper 100m,Downward Flux of Particulate Organic Carbon,Downward Flux of Particulate Organic Carbon,
Medium phyto. new (NO3-based) prim. prod. integral in upper 100m,Large zooplankton nitrogen biomass in upper 100m,,,
Large phyto. new (NO3-based) prim. prod. integral in upper 100m,,,,
