Groundfish,Benthic,Pelagic,Pelagic Migratory
bottomT,bottomT,surfaceT,surfaceT
bottomS,bottomS,surfaceS,surfaceS
bottomO2,bottomO2,surfacepH,surfacepH
bottomArg,bottomArg,MLD,MLD
